Misspelt             Predicted            Correct              Match

accually             actually             actually             Y      
accually             ally                 actually             N      
addidas              adidas               adidas               Y      
adn                  addn                 and                  N      
aer                  aer                  are                  N      
aeroplane            aeroplane            airplane             N      
agin                 agin                 again                N      
aginst               against              against              Y      
aginst               agist                against              N      
ahain                ain                  again                N      
airborn              airborn              airborne             N      
akward               award                awkward              N      
akward               awkward              awkward              Y      
alchohal             alcohol              alcohol              Y      
alchy                alchymy              alky                 N      
alterior             alter                ulterior             N      
alter                alter                later                N      
amasing              amassing             amazing              N      
amature              armature             amateur              N      
amature              mature               amateur              N      
amazimg              amazing              amazing              Y      
amazong              amazon               amazing              N      
amde                 ade                  made                 N      
amde                 amd                  made                 N      
amde                 ame                  made                 N      
amde                 amide                made                 N      
amendola             amend                amenbola             N      
ancy                 acy                  antsy                N      
ancy                 anc                  antsy                N      
ancy                 any                  antsy                N      
ancy                 dancy                antsy                N      
ancy                 fancy                antsy                N      
ancy                 nancy                antsy                N      
ancy                 sancy                antsy                N      
anf                  af                   and                  N      
anf                  an                   and                  N      
appology             apology              apology              Y      
appropo              appro                apropos              N      
arguement            argument             argument             Y      
arsewipe             arsewipe             asswipe              N      
astrix               strix                asterix              N      
athiest              lathiest             atheist              N      
athy                 apathy               atheist              N      
athy                 athymy               atheist              N      
awch                 ach                  ouch                 N      
awsome               awesome              awesome              Y      
aye                  aye                  eh                   N      
azz                  az                   ass                  N      
b0i                  bi                   boy                  N      
b4                   a                    before               N      
b4                   b                    before               N      
b4                   ba                   before               N      
b4                   bb                   before               N      
b4                   bc                   before               N      
b4                   bd                   before               N      
b4                   be                   before               N      
b4                   bf                   before               N      
b4                   bg                   before               N      
b4                   bi                   before               N      
b4                   bk                   before               N      
b4                   bl                   before               N      
b4                   bm                   before               N      
b4                   bn                   before               N      
b4                   bo                   before               N      
b4                   bp                   before               N      
b4                   br                   before               N      
b4                   bs                   before               N      
b4                   bt                   before               N      
b4                   bu                   before               N      
b4                   bv                   before               N      
b4                   bx                   before               N      
b4                   by                   before               N      
b4                   bz                   before               N      
b4                   c                    before               N      
b4                   d                    before               N      
b4                   e                    before               N      
b4                   f                    before               N      
b4                   g                    before               N      
b4                   h                    before               N      
b4                   i                    before               N      
b4                   j                    before               N      
b4                   k                    before               N      
b4                   l                    before               N      
b4                   m                    before               N      
b4                   n                    before               N      
b4                   o                    before               N      
b4                   p                    before               N      
b4                   q                    before               N      
b4                   r                    before               N      
b4                   s                    before               N      
b4                   t                    before               N      
b4                   u                    before               N      
b4                   v                    before               N      
b4                   w                    before               N      
b4                   x                    before               N      
b4                   y                    before               N      
b4                   z                    before               N      
backwords            backswords           backward             N      
backwords            backword             backward             N      
baddy                baddy                baddie               N      
baest                barest               beast                N      
baest                basest               beast                N      
baest                bast                 beast                N      
baest                best                 beast                N      
bafoon               baboon               buffoon              N      
bafoon               batoon               buffoon              N      
bafoon               boon                 buffoon              N      
bagget               bagge                baguette             N      
bagget               bragget              baguette             N      
balling              balling              bawling              N      
ballon               ballon               balloons             N      
ballsac              bac                  ballsack             N      
ballsac              balls                ballsack             N      
ballsac              balsa                ballsack             N      
baqk                 ba                   back                 N      
baqk                 back                 back                 Y      
baqk                 balk                 back                 N      
baqk                 bank                 back                 N      
baqk                 bark                 back                 N      
baqk                 bask                 back                 N      
baqk                 bauk                 back                 N      
baqk                 bk                   back                 N      
bawz                 baw                  baws                 N      
bearfoot             bearfoot             barefoot             N      
bebeh                be                   baby                 N      
bebeh                beeb                 baby                 N      
bebeh                behe                 baby                 N      
bebeh                behn                 baby                 N      
bebeh                beth                 baby                 N      
beeotch              bebotch              biatch               N      
beeotch              beech                biatch               N      
beeotch              botch                biatch               N      
beery                beery                berry                N      
beeze                bee                  beezie               N      
behenchod            benched              bhenchod             N      
beutiful             beautiful            beautiful            Y      
bewn                 ben                  b00n                 N      
biast                bast                 bias                 N      
biast                bias                 bias                 Y      
biast                bist                 bias                 N      
bibl                 bibl                 bible                N      
bicth                bic                  bitch                N      
bicth                birth                bitch                N      
biotch               biotech              bitch                N      
biotch               bitch                bitch                Y      
biotch               botch                bitch                N      
bitach               bitch                bitatch              N      
bitach               bitch                bitch                Y      
bitchen              birchen              bitchin              N      
bitchen              bitch                bitchin              N      
bitchen              bitched              bitchin              N      
bitchen              bitches              bitchin              N      
bitchen              kitchen              bitchin              N      
bitchen              witchen              bitchin              N      
bitcj                bit                  bitch                N      
bitcj                bitch                bitch                Y      
bithc                bic                  bitch                N      
bithc                bit                  bitch                N      
bithc                thc                  bitch                N      
bitsh                bish                 bitch                N      
bitsh                bits                 bitch                N      
bizness              bigness              business             N      
bizness              bines                business             N      
bizness              bizes                business             N      
bizness              bizones              business             N      
bizy                 biz                  busy                 N      
blar                 bar                  blah                 N      
blar                 belar                blah                 N      
blar                 blair                blah                 N      
blar                 blare                blah                 N      
blar                 blart                blah                 N      
blar                 blear                blah                 N      
blar                 bolar                blah                 N      
blar                 lar                  blah                 N      
blatently            latently             blatantly            N      
bler                 abler                bleh                 N      
bler                 babbler              bleh                 N      
bler                 baler                bleh                 N      
bler                 ber                  bleh                 N      
bler                 bibbler              bleh                 N      
bler                 bleaker              bleh                 N      
bler                 blear                bleh                 N      
bler                 bleater              bleh                 N      
bler                 bleeder              bleh                 N      
bler                 bleeper              bleh                 N      
bler                 bleiler              bleh                 N      
bler                 blender              bleh                 N      
bler                 blere                bleh                 N      
bler                 blesser              bleh                 N      
bler                 blether              bleh                 N      
bler                 blier                bleh                 N      
bler                 bluer                bleh                 N      
bler                 bubbler              bleh                 N      
bler                 bumbler              bleh                 N      
bler                 burbler              bleh                 N      
bler                 ler                  bleh                 N      
blond                blond                blonde               N      
bobies               bobbies              boobies              N      
bobies               boobies              boobies              Y      
boke                 boke                 boak                 N      
bollicks             bollocks             bollocks             Y      
bollicks             rollicks             bollocks             N      
bollix               bollix               bollocks             N      
bollox               bollox               bollocks             N      
bollucks             bollocks             bollocks             Y      
bona                 bona                 boner                N      
bonza                bonanza              bonzer               N      
boobes               bes                  boobs                N      
boobes               boobies              boobs                N      
boobes               boobs                boobs                Y      
boobiez              boobies              boobies              Y      
bote                 bote                 boat                 N      
boudicca             bocca                boudica              N      
braj                 bra                  brah                 N      
braj                 raj                  brah                 N      
brane                bane                 brain                N      
brane                borane               brain                N      
brane                brae                 brain                N      
brane                bran                 brain                N      
brane                branle               brain                N      
brane                rane                 brain                N      
brasil               brasil               brazil               N      
bratwurst            bratwurst            bratwurst            Y      
brillant             brillante            brillant             N      
brillant             brilliant            brillant             N      
bronie               brownie              brony                N      
brootal              brool                brutal               N      
brootal              rotal                brutal               N      
bru                  brubu                bro                  N      
brussels             brussels             brussel              N      
bryt                 br                   bright               N      
bryt                 brat                 bright               N      
bryt                 bret                 bright               N      
bryt                 brit                 bright               N      
bryt                 brot                 bright               N      
bryt                 brut                 bright               N      
bryt                 bryant               bright               N      
bryt                 bryn                 bright               N      
bryt                 bt                   bright               N      
bryt                 tryt                 bright               N      
bryt                 yt                   bright               N      
bss                  bbss                 bs                   N      
bss                  bs                   bs                   Y      
bubbla               bubba                bubbler              N      
buggie               buggier              buggy                N      
buggie               buggies              buggy                N      
burd                 burd                 bird                 N      
burque               barque               alburquerque         N      
burque               bure                 alburquerque         N      
butthead             bitthead             butthead             N      
butthead             busthead             butthead             N      
butthead             butterhead           butthead             N      
butti                butt                 butty                N      
bwt                  bt                   btw                  N      
bwt                  wt                   btw                  N      
bytch                byth                 bitch                N      
cacky                cack                 khaki                N      
cacky                cackly               khaki                N      
cacky                caky                 khaki                N      
cacky                cracky               khaki                N      
caffiene             scaffie              caffeine             N      
cahones              cajones              cojones              N      
cahones              canes                cojones              N      
cahones              canones              cojones              N      
cahones              cones                cojones              N      
cahones              hones                cojones              N      
caire                cairene              car                  N      
camero               cameo                camaro               N      
camero               cameron              camaro               N      
camoflauge           camouflage           camouflage           Y      
canadiens            canadians            canadian             N      
capice               caprice              capisce              N      
carzy                cary                 crazy                N      
carzy                carzey               crazy                N      
catbox               hatbox               chatbox              N      
celfie               ce                   selfie               N      
celfie               cele                 selfie               N      
celfie               selfie               selfie               Y      
centre               centre               center               N      
cheezy               heezy                cheesy               N      
cherrios             cheerios             cheerioes            N      
chika                chikara              chica                N      
choad                chad                 chode                N      
choon                chon                 tune                 N      
ciik                 ci                   cool                 N      
ciik                 ck                   cool                 N      
ciik                 croiik               cool                 N      
ciik                 ik                   cool                 N      
clik                 claik                clique               N      
clik                 cli                  clique               N      
clik                 click                clique               N      
clik                 clink                clique               N      
clik                 clk                  clique               N      
clitorus             clitoris             clittoris            N      
clumbsy              clumsy               clumsy               Y      
colour               colour               colour               Y      
comg                 cmg                  xomg                 N      
comg                 cog                  xomg                 N      
comg                 com                  xomg                 N      
comg                 comdg                xomg                 N      
comix                comix                comics               N      
condragulations      coagulations         congratulations      N      
congradulations      congratulations      congratulations      Y      
coolies              coolies              cool                 N      
corney               coney                corney               N      
corney               corey                corney               N      
corney               corny                corney               N      
cowa                 cow                  cows                 N      
cowa                 cowal                cows                 N      
cowa                 cowan                cows                 N      
cox                  cox                  cocks                N      
craftwork            craftwork            kraftwerk            N      
crape                crape                crap                 N      
crappie              crappie              crappy               N      
cricky               crick                crikey               N      
cricky               crickey              crikey               N      
cricky               ricky                crikey               N      
cuteiful             cul                  cutiful              N      
cutiest              cutest               cutest               Y      
cutiest              cuties               cutest               N      
cuttie               cutie                cutie                Y      
daemon               daemon               demon                N      
daimond              daimon               diamond              N      
damb                 amb                  damn                 N      
damb                 dab                  damn                 N      
damb                 dam                  damn                 N      
damb                 diamb                damn                 N      
darlek               dark                 dalek                N      
daygo                dago                 dago                 Y      
dearth               dearth               dirth                N      
deece                dee                  dece                 N      
defiantly            defiantly            definitely           N      
definately           definitely           definitely           Y      
