Misspelt             Predicted            Correct              Match

accually             actually             actually             Y      
addidas              adidas               adidas               Y      
adn                  addn                 and                  N      
aer                  aer                  are                  N      
aeroplane            aeroplane            airplane             N      
agin                 agin                 again                N      
aginst               against              against              Y      
ahain                hain                 again                N      
airborn              airborn              airborne             N      
akward               award                awkward              N      
alchohal             alcohol              alcohol              Y      
alchy                achy                 alky                 N      
alterior             anterior             ulterior             N      
alter                alter                later                N      
amasing              amassing             amazing              N      
amature              armature             amateur              N      
amazimg              amazing              amazing              Y      
amazong              amazon               amazing              N      
amde                 ade                  made                 N      
amendola             amentula             amenbola             N      
ancy                 acy                  antsy                N      
anf                  af                   and                  N      
appology             apology              apology              Y      
appropo              appro                apropos              N      
arguement            argument             argument             Y      
arsewipe             arsewipe             asswipe              N      
astrix               strix                asterix              N      
athiest              lathiest             atheist              N      
athy                 cathy                atheist              N      
awch                 ach                  ouch                 N      
awsome               awesome              awesome              Y      
aye                  aye                  eh                   N      
azz                  az                   ass                  N      
b0i                  bi                   boy                  N      
b4                   b                    before               N      
backwords            backswords           backward             N      
baddy                baddy                baddie               N      
baest                barest               beast                N      
bafoon               baboon               buffoon              N      
bagget               bagge                baguette             N      
balling              balling              bawling              N      
ballon               ballon               balloons             N      
ballsac              balls                ballsack             N      
baqk                 back                 back                 Y      
bawz                 baw                  baws                 N      
bearfoot             bearfoot             barefoot             N      
bebeh                bebed                baby                 N      
beeotch              bebotch              biatch               N      
beery                beery                berry                N      
beeze                beezer               beezie               N      
behenchod            benched              bhenchod             N      
beutiful             beautiful            beautiful            Y      
bewn                 ben                  b00n                 N      
biast                bast                 bias                 N      
bibl                 bibl                 bible                N      
bicth                birth                bitch                N      
biotch               biotech              bitch                N      
bitach               bitch                bitatch              N      
bitach               bitch                bitch                Y      
bitchen              birchen              bitchin              N      
bitcj                bitch                bitch                Y      
bithc                bitch                bitch                Y      
bitsh                bish                 bitch                N      
bizness              bigness              business             N      
bizy                 biz                  busy                 N      
blar                 bar                  blah                 N      
blatently            latently             blatantly            N      
bler                 abler                bleh                 N      
blond                blond                blonde               N      
bobies               bobbies              boobies              N      
boke                 boke                 boak                 N      
bollicks             bollocks             bollocks             Y      
bollix               bollix               bollocks             N      
bollox               bollox               bollocks             N      
bollucks             bollocks             bollocks             Y      
bona                 bona                 boner                N      
bonza                bona                 bonzer               N      
boobes               boobies              boobs                N      
boobiez              boobies              boobies              Y      
bote                 bote                 boat                 N      
boudicca             boadicea             boudica              N      
braj                 bra                  brah                 N      
brane                bane                 brain                N      
brasil               brasil               brazil               N      
bratwurst            bratwurst            bratwurst            Y      
brillant             brillante            brillant             N      
bronie               brownie              brony                N      
brootal              brool                brutal               N      
bru                  baru                 bro                  N      
brussels             brussels             brussel              N      
bryt                 brat                 bright               N      
bss                  bbss                 bs                   N      
bubbla               bubba                bubbler              N      
buggie               buggier              buggy                N      
burd                 burd                 bird                 N      
burque               barque               alburquerque         N      
butthead             bitthead             butthead             N      
butti                butt                 butty                N      
bwt                  bt                   btw                  N      
bytch                byth                 bitch                N      
cacky                cack                 khaki                N      
caffiene             caffeine             caffeine             Y      
cahones              cajones              cojones              N      
caire                aire                 car                  N      
camero               cameo                camaro               N      
camoflauge           camouflage           camouflage           Y      
canadiens            canadians            canadian             N      
capice               caprice              capisce              N      
carzy                cary                 crazy                N      
catbox               hatbox               chatbox              N      
celfie               selfie               selfie               Y      
centre               centre               center               N      
cheezy               heezy                cheesy               N      
cherrios             cheerios             cheerioes            N      
chika                chia                 chica                N      
choad                chad                 chode                N      
choon                chon                 tune                 N      
ciik                 ci                   cool                 N      
clik                 claik                clique               N      
clitorus             clitoris             clittoris            N      
clumbsy              clumsy               clumsy               Y      
colour               colour               colour               Y      
comg                 cmg                  xomg                 N      
comix                comix                comics               N      
condragulations      congratulations      congratulations      Y      
congradulations      congratulations      congratulations      Y      
coolies              coolies              cool                 N      
corney               coney                corney               N      
cowa                 cow                  cows                 N      
cox                  cox                  cocks                N      
craftwork            craftwork            kraftwerk            N      
crape                crape                crap                 N      
crappie              crappie              crappy               N      
cricky               crick                crikey               N      
cuteiful             coteful              cutiful              N      
cutiest              cutest               cutest               Y      
cuttie               cutie                cutie                Y      
daemon               daemon               demon                N      
daimond              daimon               diamond              N      
damb                 amb                  damn                 N      
darlek               dark                 dalek                N      
daygo                dago                 dago                 Y      
dearth               dearth               dirth                N      
deece                deere                dece                 N      
defiantly            defiantly            definitely           N      
definately           definitely           definitely           Y      
definetely           definitely           definitely           Y      
definetly            definedly            definitely           N      
definitly            definitely           definitely           Y      
deuche               deuce                douche               N      
dhe                  de                   the                  N      
diarhea              diarrhea             diarrhea             Y      
dike                 dike                 dyke                 N      
dill                 dill                 dil                  N      
dillusional          illusional           delusional           N      
dirrty               dirty                dirty                Y      
dirth                dirt                 dearth               N      
djinn                djinn                jinn                 N      
doenst               doest                doesn                N      
donit                doit                 doughnut             N      
dooche               douche               douche               Y      
doosh                dosh                 douche               N      
drak                 dak                  dark                 N      
dray                 dray                 dry                  N      
droll                droll                drole                N      
drunck               drunk                drunk                Y      
dubes                daubes               doobie               N      
dufus                duffus               doofus               N      
dumby                dumby                dummy                N      
dun                  dun                  done                 N      
durnk                dunk                 drunk                N      
durp                 dup                  derp                 N      
durr                 durr                 dir                  N      
dwag                 dag                  dawg                 N      
dweeb                deb                  dickweed             N      
dyne                 dyne                 down                 N      
ecstacy              ecstasy              ecstasy              Y      
ectasy               ecstasy              ecstasy              Y      
edn                  dn                   end                  N      
egat                 begat                egads                N      
eigth                eigh                 eighth               N      
embarass             embarrass            embarrass            Y      
engish               english              english              Y      
enterprize           enterprize           enterprise           N      
entre                entre                enter                N      
entrence             entrance             entrance             Y      
enuf                 enif                 enough               N      
eonnie               bonnie               unni                 N      
epitomy              epitome              epitome              Y      
everythink           everything           everything           Y      
exept                except               except               Y      
eys                  beys                 yes                  N      
faecbook             facebook             facebook             Y      
faery                faery                fairy                N      
faget                aget                 faggot               N      
fagget               fagged               faggot               N      
faggit               baggit               faggot               N      
fagit                agit                 faggot               N      
fagot                fagot                faggot               N      
fale                 ale                  fail                 N      
fanboi               fanboy               fanboy               Y      
fassi                assi                 fassy                N      
fcuk                 fuck                 fuck                 Y      
feminista            feminist             feminist             Y      
fewmin               ferkin               fuming               N      
fhone                fone                 phone                N      
fiels                fels                 files                N      
fiend                fiend                friend               N      
figger               figgery              figure               N      
firt                 fir                  first                N      
fitbaw               kitbag               fitba                N      
flem                 flem                 phlegm               N      
flodge               flodge               flauge               N      
foking               forking              fucking              N      
folling              fooling              following            N      
fomg                 fog                  omfg                 N      
fooot                foot                 foot                 Y      
forse                forsee               force                N      
fortay               foray                forte                N      
fourplay             foreplay             foreplay             Y      
fourty               forty                forty                Y      
frek                 freak                freak                Y      
frisby               fribby               frisbee              N      
fucc                 fcc                  fuck                 N      
fuckly               feckly               fugly                N      
fujk                 fuck                 fuck                 Y      
fuk                  fu                   fuck                 N      
fukk                 fuck                 fuck                 Y      
fune                 fun                  fine                 N      
furg                 fug                  fag                  N      
gabor                gabor                gaybar               N      
gache                ache                 gash                 N      
gaea                 gaea                 gaia                 N      
gaie                 gae                  gay                  N      
gaint                aint                 giant                N      
gamz                 gam                  gamez                N      
gaol                 gaol                 jail                 N      
gave                 gave                 gayve                N      
gawgus               gaus                 gorgeous             N      
gaye                 gaye                 gay                  N      
geezus               gees                 jesus                N      
ge                   ge                   gay                  N      
genious              genius               genius               Y      
gernade              grenade              grenade              Y      
ghei                 ghi                  ghey                 N      
ghey                 gehey                gay                  N      
girk                 irk                  girl                 N      
giys                 gis                  guys                 N      
godamn               goddamn              goddamn              Y      
gokken               bokken               gokkun               N      
googleplex           googolplex           googolplex           Y      
goot                 got                  fagoot               N      
goregous             gorgeous             gorgeous             Y      
gorjuss              gruss                gorgeous             N      
gotton               cotton               gotten               N      
gr8t                 grat                 great                N      
grammer              gammer               grammar              N      
gravey               grave                gravy                N      
gret                 gret                 great                N      
groce                grocer               gross                N      
grock                grok                 grok                 Y      
grodie               brodie               grody                N      
grosse               grosse               gross                N      
grrl                 grr                  girl                 N      
guey                 aguey                buey                 N      
guey                 aguey                wey                  N      
guh                  gu                   ugh                  N      
guildford            guildford            guilford             N      
guiness              guinness             guinness             Y      
gullable             gullable             gullible             N      
gurh                 gur                  girl                 N      
gurl                 gurl                 girl                 N      
hacer                acer                 hacker               N      
haet                 haet                 hate                 N      
hammah               hamlah               hammer               N      
hampster             hamster              hamster              Y      
hanus                anus                 heinous              N      
harang               harang               harangue             N      
harting              charting             hearting             N      
haterz               hater                haters               N      
hatorade             charade              haterade             N      
hatter               hatter               hater                N      
haway                away                 howay                N      
hawt                 hat                  hot                  N      
hayte                hate                 hate                 Y      
haz                  ahaz                 have                 N      
hed                  hed                  head                 N      
heeb                 hee                  hebe                 N      
hellow               hello                hello                Y      
henessy              hennessey            hennessy             N      
hennesy              hennes               hennessy             N      
hepl                 hel                  help                 N      
hexa                 hexa                 hecksa               N      
hiccups              hiccups              hiccough             N      
hippocrate           hippocratea          hypocrite            N      
hlep                 hep                  help                 N      
hmwk                 hawk                 homework             N      
hobit                hobbit               hobbit               Y      
hoe                  hoe                  ho                   N      
hoe                  hoe                  whore                N      
homey                homey                homie                N      
hommie               homme                homie                N      
honour               honour               honor                N      
hony                 hny                  honey                N      
hoody                hoody                hoodie               N      
hoog                 hog                  hugs                 N      
hopless              hoopless             hopeless             N      
hore                 hore                 whore                N      
hott                 hot                  hot                  Y      
hrlp                 halp                 help                 N      
hshs                 hahs                 haha                 N      
humerous             humerus              humorous             N      
huni                 hui                  honey                N      
hunnit               hunnic               hundred              N      
idot                 dot                  idiot                N      
iklas                niklas               ikhlas               N      
illeterate           illiterate           illiterate           Y      
immigratio           immigration          immigration          Y      
inane                inane                insane               N      
