Misspelt             Predicted            Correct              Match

accually             actually             actually             Y      
addidas              adidas               adidas               Y      
adn                  abn                  and                  N      
adn                  ad                   and                  N      
adn                  ada                  and                  N      
adn                  adc                  and                  N      
adn                  add                  and                  N      
adn                  addn                 and                  N      
adn                  ade                  and                  N      
adn                  aden                 and                  N      
adn                  adi                  and                  N      
adn                  adin                 and                  N      
adn                  adj                  and                  N      
adn                  adm                  and                  N      
adn                  ado                  and                  N      
adn                  adon                 and                  N      
adn                  adp                  and                  N      
adn                  ads                  and                  N      
adn                  adv                  and                  N      
adn                  ady                  and                  N      
adn                  adz                  and                  N      
adn                  ain                  and                  N      
adn                  aln                  and                  N      
adn                  an                   and                  N      
adn                  and                  and                  Y      
adn                  ann                  and                  N      
adn                  arn                  and                  N      
adn                  avn                  and                  N      
adn                  awn                  and                  N      
adn                  dan                  and                  N      
adn                  dn                   and                  N      
adn                  pdn                  and                  N      
aer                  aer                  are                  N      
aeroplane            aeroplane            airplane             N      
agin                 agin                 again                N      
aginst               against              against              Y      
aginst               agist                against              N      
aginst               gainst               against              N      
ahain                again                again                Y      
ahain                alain                again                N      
ahain                amain                again                N      
ahain                arain                again                N      
ahain                chain                again                N      
ahain                ghain                again                N      
ahain                hain                 again                N      
airborn              airborn              airborne             N      
akward               adward               awkward              N      
akward               award                awkward              N      
akward               awkward              awkward              Y      
alchohal             alcohol              alcohol              Y      
alchy                achy                 alky                 N      
alchy                archy                alky                 N      
alterior             anterior             ulterior             N      
alterior             ulterior             ulterior             Y      
alter                alter                later                N      
amasing              abasing              amazing              N      
amasing              amassing             amazing              N      
amasing              amating              amazing              N      
amasing              amazing              amazing              Y      
amasing              amusing              amazing              N      
amature              abature              amateur              N      
amature              armature             amateur              N      
amature              mature               amateur              N      
amazimg              amazing              amazing              Y      
amazong              amazing              amazing              Y      
amazong              amazon               amazing              N      
amazong              amazona              amazing              N      
amazong              amazons              amazing              N      
amde                 ade                  made                 N      
amde                 aide                 made                 N      
amde                 ambe                 made                 N      
amde                 amd                  made                 N      
amde                 amdt                 made                 N      
amde                 ame                  made                 N      
amde                 amide                made                 N      
amde                 amie                 made                 N      
amde                 ande                 made                 N      
amde                 made                 made                 Y      
amendola             amentula             amenbola             N      
amendola             mandola              amenbola             N      
amendola             mendole              amenbola             N      
amendola             mendoza              amenbola             N      
ancy                 acy                  antsy                N      
ancy                 agcy                 antsy                N      
ancy                 anay                 antsy                N      
ancy                 anc                  antsy                N      
ancy                 andy                 antsy                N      
ancy                 any                  antsy                N      
ancy                 dancy                antsy                N      
ancy                 ency                 antsy                N      
ancy                 fancy                antsy                N      
ancy                 nancy                antsy                N      
ancy                 sancy                antsy                N      
anf                  af                   and                  N      
anf                  aff                  and                  N      
anf                  alf                  and                  N      
anf                  an                   and                  N      
anf                  ana                  and                  N      
anf                  anc                  and                  N      
anf                  and                  and                  Y      
anf                  ane                  and                  N      
anf                  ang                  and                  N      
anf                  ani                  and                  N      
anf                  ann                  and                  N      
anf                  ans                  and                  N      
anf                  ant                  and                  N      
anf                  any                  and                  N      
anf                  arf                  and                  N      
anf                  auf                  and                  N      
anf                  bnf                  and                  N      
anf                  inf                  and                  N      
anf                  naf                  and                  N      
appology             apiology             apology              N      
appology             apology              apology              Y      
appropo              appro                apropos              N      
appropo              apprompt             apropos              N      
appropo              approof              apropos              N      
appropo              appropre             apropos              N      
appropo              approve              apropos              N      
appropo              approx               apropos              N      
appropo              apropos              apropos              Y      
appropo              upprop               apropos              N      
appropo              upprops              apropos              N      
arguement            argument             argument             Y      
arsewipe             arsewipe             asswipe              N      
astrix               astrid               asterix              N      
astrix               strix                asterix              N      
athiest              achiest              atheist              N      
athiest              ashiest              atheist              N      
athiest              atheist              atheist              Y      
athiest              athirst              atheist              N      
athiest              lathiest             atheist              N      
athy                 achy                 atheist              N      
athy                 ashy                 atheist              N      
athy                 atry                 atheist              N      
athy                 atty                 atheist              N      
athy                 cathy                atheist              N      
athy                 kathy                atheist              N      
athy                 lathy                atheist              N      
athy                 pathy                atheist              N      
athy                 thy                  atheist              N      
awch                 ach                  ouch                 N      
awch                 arch                 ouch                 N      
awsome               awesome              awesome              Y      
aye                  aye                  eh                   N      
azz                  adz                  ass                  N      
azz                  az                   ass                  N      
azz                  aziz                 ass                  N      
azz                  azo                  ass                  N      
azz                  azt                  ass                  N      
azz                  jazz                 ass                  N      
azz                  razz                 ass                  N      
b0i                  bai                  boy                  N      
b0i                  bfi                  boy                  N      
b0i                  bi                   boy                  N      
b0i                  bpi                  boy                  N      
b4                   b                    before               N      
b4                   ba                   before               N      
b4                   bb                   before               N      
b4                   bc                   before               N      
b4                   bd                   before               N      
b4                   be                   before               N      
b4                   bf                   before               N      
b4                   bg                   before               N      
b4                   bi                   before               N      
b4                   bk                   before               N      
b4                   bl                   before               N      
b4                   bm                   before               N      
b4                   bn                   before               N      
b4                   bo                   before               N      
b4                   bp                   before               N      
b4                   br                   before               N      
b4                   bs                   before               N      
b4                   bt                   before               N      
b4                   bu                   before               N      
b4                   bv                   before               N      
b4                   bx                   before               N      
b4                   by                   before               N      
b4                   bz                   before               N      
backwords            backswords           backward             N      
backwords            backwards            backward             N      
backwords            backwoods            backward             N      
backwords            backword             backward             N      
baddy                baddy                baddie               N      
baest                barest               beast                N      
baest                basest               beast                N      
baest                bast                 beast                N      
baest                beast                beast                Y      
baest                beest                beast                N      
baest                best                 beast                N      
baest                blest                beast                N      
baest                brest                beast                N      
bafoon               baboon               buffoon              N      
bafoon               batoon               buffoon              N      
bagget               bagge                baguette             N      
bagget               bagged               baguette             N      
bagget               bagger               baguette             N      
bagget               baggit               baguette             N      
bagget               bagnet               baguette             N      
bagget               baguet               baguette             N      
bagget               bragget              baguette             N      
balling              balling              bawling              N      
ballon               ballon               balloons             N      
ballsac              balla                ballsack             N      
ballsac              ballad               ballsack             N      
ballsac              ballam               ballsack             N      
ballsac              ballan               ballsack             N      
ballsac              ballas               ballsack             N      
ballsac              ballast              ballsack             N      
ballsac              ballat               ballsack             N      
ballsac              balls                ballsack             N      
ballsac              ballsy               ballsack             N      
ballsac              balsa                ballsack             N      
ballsac              balsam               ballsack             N      
ballsac              balsas               ballsack             N      
ballsac              balzac               ballsack             N      
ballsac              barsac               ballsack             N      
baqk                 back                 back                 Y      
baqk                 balk                 back                 N      
baqk                 bank                 back                 N      
baqk                 bark                 back                 N      
baqk                 bask                 back                 N      
baqk                 bauk                 back                 N      
bawz                 baez                 baws                 N      
bawz                 batz                 baws                 N      
bawz                 baw                  baws                 N      
bawz                 bawd                 baws                 N      
bawz                 bawl                 baws                 N      
bawz                 bawn                 baws                 N      
bawz                 bayz                 baws                 N      
bearfoot             bearfoot             barefoot             N      
bebeh                bebed                baby                 N      
beeotch              bebotch              biatch               N      
beery                beery                berry                N      
beeze                beebe                beezie               N      
beeze                beele                beezie               N      
beeze                beeve                beezie               N      
beeze                beezer               beezie               N      
beeze                bleeze               beezie               N      
beeze                breeze               beezie               N      
beeze                feeze                beezie               N      
beeze                heeze                beezie               N      
beeze                jeeze                beezie               N      
beeze                neeze                beezie               N      
beeze                weeze                beezie               N      
behenchod            beancod              bhenchod             N      
behenchod            bedrenched           bhenchod             N      
behenchod            benched              bhenchod             N      
behenchod            beseeched            bhenchod             N      
behenchod            blenched             bhenchod             N      
beutiful             beautiful            beautiful            Y      
bewn                 bawn                 b00n                 N      
bewn                 bean                 b00n                 N      
bewn                 been                 b00n                 N      
bewn                 behn                 b00n                 N      
bewn                 bein                 b00n                 N      
bewn                 ben                  b00n                 N      
bewn                 benn                 b00n                 N      
bewn                 bern                 b00n                 N      
bewn                 bown                 b00n                 N      
bewn                 hewn                 b00n                 N      
bewn                 sewn                 b00n                 N      
biast                bast                 bias                 N      
biast                beast                bias                 N      
biast                bias                 bias                 Y      
biast                bist                 bias                 N      
biast                blast                bias                 N      
biast                boast                bias                 N      
biast                brast                bias                 N      
biast                piast                bias                 N      
bibl                 bibl                 bible                N      
bicth                birth                bitch                N      
bicth                bitch                bitch                Y      
biotch               biotech              bitch                N      
biotch               bitch                bitch                Y      
biotch               blotch               bitch                N      
biotch               botch                bitch                N      
bitach               bitch                bitatch              N      
bitach               bitch                bitch                Y      
bitchen              birchen              bitchin              N      
bitchen              bitched              bitchin              N      
bitchen              bitches              bitchin              N      
bitchen              kitchen              bitchin              N      
bitchen              witchen              bitchin              N      
bitcj                bitch                bitch                Y      
bithc                bitch                bitch                Y      
bitsh                bilsh                bitch                N      
bitsh                bish                 bitch                N      
bitsh                bitch                bitch                Y      
bitsh                bits                 bitch                N      
bitsh                bitsy                bitch                N      
bizness              bigness              business             N      
bizy                 biz                  busy                 N      
bizy                 bize                 busy                 N      
bizy                 bizz                 busy                 N      
bizy                 nizy                 busy                 N      
bizy                 sizy                 busy                 N      
blar                 alar                 blah                 N      
blar                 baar                 blah                 N      
blar                 balr                 blah                 N      
blar                 bar                  blah                 N      
blar                 bear                 blah                 N      
blar                 belar                blah                 N      
blar                 bhar                 blah                 N      
blar                 blab                 blah                 N      
blar                 blad                 blah                 N      
blar                 blae                 blah                 N      
blar                 blag                 blah                 N      
blar                 blah                 blah                 Y      
blar                 blair                blah                 N      
blar                 blam                 blah                 N      
blar                 blan                 blah                 N      
blar                 blare                blah                 N      
blar                 blart                blah                 N      
blar                 blas                 blah                 N      
blar                 blat                 blah                 N      
blar                 blau                 blah                 N      
blar                 blaw                 blah                 N      
blar                 blay                 blah                 N      
blar                 bldr                 blah                 N      
blar                 blear                blah                 N      
blar                 blur                 blah                 N      
blar                 boar                 blah                 N      
blar                 bolar                blah                 N      
blar                 clar                 blah                 N      
blar                 glar                 blah                 N      
blar                 lar                  blah                 N      
blatently            blatantly            blatantly            Y      
blatently            latently             blatantly            N      
bler                 abler                bleh                 N      
bler                 baler                bleh                 N      
