Misspelt             Predicted            Correct              Match

accually             actually             actually             Y      
addidas              adidas               adidas               Y      
adn                  addn                 and                  N      
aer                  aer                  are                  N      
aeroplane            aeroplane            airplane             N      
agin                 agin                 again                N      
aginst               agin                 against              N      
ahain                hain                 again                N      
airborn              airborn              airborne             N      
akward               peakward             awkward              N      
alchohal             alc                  alcohol              N      
alchy                alc                  alky                 N      
alterior             ulterior             ulterior             Y      
alter                alter                later                N      
amasing              amassing             amazing              N      
amature              mature               amateur              N      
amazimg              amazia               amazing              N      
amazong              amazon               amazing              N      
amde                 amd                  made                 N      
amendola             amend                amenbola             N      
ancy                 anc                  antsy                N      
anf                  a                    and                  N      
appology             apology              apology              Y      
appropo              appro                apropos              N      
arguement            argument             argument             Y      
arsewipe             arsewipe             asswipe              N      
astrix               strix                asterix              N      
athiest              lathiest             atheist              N      
athy                 cathy                atheist              N      
awch                 a                    ouch                 N      
awsome               some                 awesome              N      
aye                  aye                  eh                   N      
azz                  jazz                 ass                  N      
b0i                  a                    boy                  N      
b4                   a                    before               N      
backwords            backword             backward             N      
baddy                baddy                baddie               N      
baest                bae                  beast                N      
bafoon               baboon               buffoon              N      
bagget               bagge                baguette             N      
balling              balling              bawling              N      
ballon               ballon               balloons             N      
ballsac              balls                ballsack             N      
baqk                 a                    back                 N      
bawz                 baw                  baws                 N      
bearfoot             bearfoot             barefoot             N      
bebeh                bebed                baby                 N      
beeotch              bebotch              biatch               N      
beery                beery                berry                N      
beeze                beezer               beezie               N      
behenchod            behen                bhenchod             N      
beutiful             beautiful            beautiful            Y      
bewn                 hewn                 b00n                 N      
biast                bias                 bias                 Y      
bibl                 bibl                 bible                N      
bicth                bic                  bitch                N      
biotch               bio                  bitch                N      
bitach               tach                 bitatch              N      
bitach               tach                 bitch                N      
bitchen              bitch                bitchin              N      
bitcj                bit                  bitch                N      
bithc                bit                  bitch                N      
bitsh                bits                 bitch                N      
bizness              ness                 business             N      
bizy                 biz                  busy                 N      
blar                 blare                blah                 N      
blatently            latently             blatantly            N      
bler                 abler                bleh                 N      
blond                blond                blonde               N      
bobies               bobbies              boobies              N      
boke                 boke                 boak                 N      
bollicks             rollicks             bollocks             N      
bollix               bollix               bollocks             N      
bollox               bollox               bollocks             N      
bollucks             lucks                bollocks             N      
bona                 bona                 boner                N      
bonza                onza                 bonzer               N      
boobes               boob                 boobs                N      
boobiez              boobies              boobies              Y      
bote                 bote                 boat                 N      
boudicca             boud                 boudica              N      
braj                 bra                  brah                 N      
brane                bran                 brain                N      
brasil               brasil               brazil               N      
bratwurst            bratwurst            bratwurst            Y      
brillant             brillante            brillant             N      
bronie               cronie               brony                N      
brootal              broo                 brutal               N      
bru                  brubru               bro                  N      
brussels             brussels             brussel              N      
bryt                 bryn                 bright               N      
bss                  bbss                 bs                   N      
bubbla               bubble               bubbler              N      
buggie               buggier              buggy                N      
burd                 burd                 bird                 N      
burque               bur                  alburquerque         N      
butthead             bitthead             butthead             N      
butti                butt                 butty                N      
bwt                  a                    btw                  N      
bytch                tch                  bitch                N      
cacky                cack                 khaki                N      
caffiene             caff                 caffeine             N      
cahones              hones                cojones              N      
caire                aire                 car                  N      
camero               cameron              camaro               N      
camoflauge           auge                 camouflage           N      
canadiens            canadians            canadian             N      
capice               pice                 capisce              N      
carzy                car                  crazy                N      
catbox               hatbox               chatbox              N      
celfie               selfie               selfie               Y      
centre               centre               center               N      
cheezy               heezy                cheesy               N      
cherrios             cheerios             cheerioes            N      
chika                chi                  chica                N      
choad                cho                  chode                N      
choon                chon                 tune                 N      
ciik                 a                    cool                 N      
clik                 cli                  clique               N      
clitorus             torus                clittoris            N      
clumbsy              clum                 clumsy               N      
colour               colour               colour               Y      
comg                 com                  xomg                 N      
comix                comix                comics               N      
condragulations      coagulations         congratulations      N      
congradulations      congratulations      congratulations      Y      
coolies              coolies              cool                 N      
corney               corn                 corney               N      
cowa                 cow                  cows                 N      
cox                  cox                  cocks                N      
craftwork            craftwork            kraftwerk            N      
crape                crape                crap                 N      
crappie              crappie              crappy               N      
cricky               crick                crikey               N      
cuteiful             cute                 cutiful              N      
cutiest              cuties               cutest               N      
cuttie               cutie                cutie                Y      
daemon               daemon               demon                N      
daimond              daimon               diamond              N      
damb                 amb                  damn                 N      
darlek               dar                  dalek                N      
daygo                day                  dago                 N      
dearth               dearth               dirth                N      
deece                dee                  dece                 N      
defiantly            defiantly            definitely           N      
definately           binately             definitely           N      
definetely           define               definitely           N      
definetly            define               definitely           N      
definitly            definite             definitely           N      
deuche               che                  douche               N      
dhe                  a                    the                  N      
diarhea              diarrhea             diarrhea             Y      
dike                 dike                 dyke                 N      
dill                 dill                 dil                  N      
dillusional          illusional           delusional           N      
dirrty               dirty                dirty                Y      
dirth                dirt                 dearth               N      
djinn                djinn                jinn                 N      
doenst               doe                  doesn                N      
donit                doni                 doughnut             N      
dooche               boche                douche               N      
doosh                dosh                 douche               N      
drak                 drake                dark                 N      
dray                 dray                 dry                  N      
droll                droll                drole                N      
drunck               drung                drunk                N      
dubes                bes                  doobie               N      
dufus                duffus               doofus               N      
dumby                dumby                dummy                N      
dun                  dun                  done                 N      
durnk                durn                 drunk                N      
durp                 dur                  derp                 N      
durr                 durr                 dir                  N      
dwag                 wag                  dawg                 N      
dweeb                dweeble              dickweed             N      
dyne                 dyne                 down                 N      
ecstacy              stacy                ecstasy              N      
ectasy               ecstasy              ecstasy              Y      
edn                  edna                 end                  N      
egat                 begat                egads                N      
eigth                eigh                 eighth               N      
embarass             embarrass            embarrass            Y      
engish               gish                 english              N      
enterprize           enterprize           enterprise           N      
entre                entre                enter                N      
entrence             entrench             entrance             N      
enuf                 enum                 enough               N      
eonnie               bonnie               unni                 N      
epitomy              epitome              epitome              Y      
everythink           everything           everything           Y      
exept                dept                 except               N      
eys                  beys                 yes                  N      
faecbook             book                 facebook             N      
faery                faery                fairy                N      
faget                aget                 faggot               N      
fagget               fagged               faggot               N      
faggit               baggit               faggot               N      
fagit                agit                 faggot               N      
fagot                fagot                faggot               N      
fale                 ale                  fail                 N      
fanboi               fanboy               fanboy               Y      
fassi                assi                 fassy                N      
fcuk                 a                    fuck                 N      
feminista            feminist             feminist             Y      
fewmin               few                  fuming               N      
fhone                hone                 phone                N      
fiels                fiel                 files                N      
fiend                fiend                friend               N      
figger               figgery              figure               N      
firt                 fir                  first                N      
fitbaw               baw                  fitba                N      
flem                 flem                 phlegm               N      
flodge               flodge               flauge               N      
foking               oking                fucking              N      
folling              bolling              following            N      
fomg                 a                    omfg                 N      
fooot                foot                 foot                 Y      
forse                forsee               force                N      
fortay               fort                 forte                N      
fourplay             four                 foreplay             N      
fourty               courty               forty                N      
frek                 drek                 freak                N      
frisby               fris                 frisbee              N      
fucc                 fuci                 fuck                 N      
fuckly               fuck                 fugly                N      
fujk                 fuji                 fuck                 N      
fuk                  a                    fuck                 N      
fukk                 a                    fuck                 N      
fune                 fun                  fine                 N      
furg                 fur                  fag                  N      
gabor                gabor                gaybar               N      
gache                ache                 gash                 N      
gaea                 gaea                 gaia                 N      
gaie                 gaia                 gay                  N      
gaint                aint                 giant                N      
gamz                 gam                  gamez                N      
gaol                 gaol                 jail                 N      
gave                 gave                 gayve                N      
gawgus               gaw                  gorgeous             N      
gaye                 gaye                 gay                  N      
geezus               geez                 jesus                N      
ge                   ge                   gay                  N      
genious              genio                genius               N      
gernade              ade                  grenade              N      
ghei                 hei                  ghey                 N      
ghey                 hey                  gay                  N      
girk                 irk                  girl                 N      
giys                 a                    guys                 N      
godamn               goddamn              goddamn              Y      
gokken               bokken               gokkun               N      
googleplex           google               googolplex           N      
goot                 goo                  fagoot               N      
goregous             gore                 gorgeous             N      
gorjuss              gor                  gorgeous             N      
gotton               cotton               gotten               N      
gr8t                 a                    great                N      
grammer              gramme               grammar              N      
gravey               grave                gravy                N      
gret                 gret                 great                N      
groce                grocer               gross                N      
grock                rock                 grok                 N      
grodie               brodie               grody                N      
grosse               grosse               gross                N      
grrl                 grr                  girl                 N      
guey                 aguey                buey                 N      
guey                 aguey                wey                  N      
guh                  guha                 ugh                  N      
guildford            guildford            guilford             N      
guiness              guinness             guinness             Y      
gullable             gullable             gullible             N      
gurh                 gur                  girl                 N      
gurl                 gurl                 girl                 N      
hacer                acer                 hacker               N      
haet                 haet                 hate                 N      
hammah               hamm                 hammer               N      
hampster             hampstead            hamster              N      
hanus                anus                 heinous              N      
harang               harang               harangue             N      
harting              charting             hearting             N      
haterz               hater                haters               N      
hatorade             hade                 haterade             N      
hatter               hatter               hater                N      
haway                away                 howay                N      
hawt                 haw                  hot                  N      
hayte                hayter               hate                 N      
haz                  ahaz                 have                 N      
hed                  hed                  head                 N      
heeb                 hee                  hebe                 N      
hellow               hello                hello                Y      
henessy              bessy                hennessy             N      
hennesy              hennes               hennessy             N      
hepl                 hep                  help                 N      
hexa                 hexa                 hecksa               N      
hiccups              hiccups              hiccough             N      
hippocrate           hippocratea          hypocrite            N      
hlep                 lep                  help                 N      
hmwk                 a                    homework             N      
hobit                hobbit               hobbit               Y      
hoe                  hoe                  ho                   N      
hoe                  hoe                  whore                N      
homey                homey                homie                N      
hommie               commie               homie                N      
honour               honour               honor                N      
hony                 hon                  honey                N      
hoody                hoody                hoodie               N      
hoog                 hog                  hugs                 N      
hopless              hoopless             hopeless             N      
hore                 hore                 whore                N      
hott                 chott                hot                  N      
hrlp                 a                    help                 N      
hshs                 a                    haha                 N      
humerous             numerous             humorous             N      
huni                 hun                  honey                N      
hunnit               hunnic               hundred              N      
idot                 dot                  idiot                N      
iklas                niklas               ikhlas               N      
illeterate           illiterate           illiterate           Y      
immigratio           immigration          immigration          Y      
inane                inane                insane               N      
inbread              inbread              inbred               N      
incerdible           edible               incredible           N      
infinity             infinity             infiniti             N      
infomation           information          information          Y      
ingerland            gerland              england              N      
