Misspelt             Predicted            Correct              Match

accually             actually             actually             Y      
accually             ally                 actually             N      
accually             dually               actually             N      
accually             qually               actually             N      
addidas              adidas               adidas               Y      
adn                  addn                 and                  N      
aer                  aer                  are                  N      
aeroplane            aeroplane            airplane             N      
agin                 agin                 again                N      
aginst               agin                 against              N      
aginst               inst                 against              N      
ahain                hain                 again                N      
airborn              airborn              airborne             N      
akward               peakward             awkward              N      
akward               ward                 awkward              N      
alchohal             alc                  alcohol              N      
alchohal             hal                  alcohol              N      
alchohal             halch                alcohol              N      
alchy                alc                  alky                 N      
alchy                alchymy              alky                 N      
alterior             ulterior             ulterior             Y      
alter                alter                later                N      
amasing              amassing             amazing              N      
amature              mature               amateur              N      
amazimg              amazia               amazing              N      
amazong              amazon               amazing              N      
amde                 amd                  made                 N      
amendola             amend                amenbola             N      
ancy                 anc                  antsy                N      
ancy                 dancy                antsy                N      
ancy                 fancy                antsy                N      
ancy                 nancy                antsy                N      
ancy                 sancy                antsy                N      
anf                  a                    and                  N      
anf                  aa                   and                  N      
anf                  ab                   and                  N      
anf                  ac                   and                  N      
anf                  ad                   and                  N      
anf                  ae                   and                  N      
anf                  af                   and                  N      
anf                  ag                   and                  N      
anf                  ah                   and                  N      
anf                  ai                   and                  N      
anf                  ak                   and                  N      
anf                  al                   and                  N      
anf                  am                   and                  N      
anf                  an                   and                  N      
anf                  ana                  and                  N      
anf                  anc                  and                  N      
anf                  and                  and                  Y      
anf                  ane                  and                  N      
anf                  ang                  and                  N      
anf                  ani                  and                  N      
anf                  ann                  and                  N      
anf                  ans                  and                  N      
anf                  ant                  and                  N      
anf                  any                  and                  N      
anf                  ao                   and                  N      
anf                  ap                   and                  N      
anf                  aq                   and                  N      
anf                  ar                   and                  N      
anf                  as                   and                  N      
anf                  at                   and                  N      
anf                  au                   and                  N      
anf                  av                   and                  N      
anf                  aw                   and                  N      
anf                  ax                   and                  N      
anf                  ay                   and                  N      
anf                  az                   and                  N      
anf                  b                    and                  N      
anf                  ba                   and                  N      
anf                  bb                   and                  N      
anf                  bc                   and                  N      
anf                  bd                   and                  N      
anf                  be                   and                  N      
anf                  bf                   and                  N      
anf                  bg                   and                  N      
anf                  bi                   and                  N      
anf                  bk                   and                  N      
anf                  bl                   and                  N      
anf                  bm                   and                  N      
anf                  bn                   and                  N      
anf                  bnf                  and                  N      
anf                  bo                   and                  N      
anf                  bp                   and                  N      
anf                  br                   and                  N      
anf                  bs                   and                  N      
anf                  bt                   and                  N      
anf                  bu                   and                  N      
anf                  bv                   and                  N      
anf                  bx                   and                  N      
anf                  by                   and                  N      
anf                  bz                   and                  N      
anf                  c                    and                  N      
anf                  ca                   and                  N      
anf                  cb                   and                  N      
anf                  cc                   and                  N      
anf                  cd                   and                  N      
anf                  ce                   and                  N      
anf                  cf                   and                  N      
anf                  cg                   and                  N      
anf                  ch                   and                  N      
anf                  ci                   and                  N      
anf                  ck                   and                  N      
anf                  cl                   and                  N      
anf                  cm                   and                  N      
anf                  co                   and                  N      
anf                  cp                   and                  N      
anf                  cq                   and                  N      
anf                  cr                   and                  N      
anf                  cs                   and                  N      
anf                  ct                   and                  N      
anf                  cu                   and                  N      
anf                  cv                   and                  N      
anf                  cw                   and                  N      
anf                  cy                   and                  N      
anf                  d                    and                  N      
anf                  da                   and                  N      
anf                  db                   and                  N      
anf                  dc                   and                  N      
anf                  dd                   and                  N      
anf                  de                   and                  N      
anf                  dg                   and                  N      
anf                  di                   and                  N      
anf                  dj                   and                  N      
anf                  dk                   and                  N      
anf                  dl                   and                  N      
anf                  dm                   and                  N      
anf                  dn                   and                  N      
anf                  do                   and                  N      
anf                  dp                   and                  N      
anf                  dr                   and                  N      
anf                  ds                   and                  N      
anf                  dt                   and                  N      
anf                  du                   and                  N      
anf                  dx                   and                  N      
anf                  dy                   and                  N      
anf                  dz                   and                  N      
anf                  e                    and                  N      
anf                  ea                   and                  N      
anf                  eb                   and                  N      
anf                  ec                   and                  N      
anf                  ed                   and                  N      
anf                  ee                   and                  N      
anf                  ef                   and                  N      
anf                  eg                   and                  N      
anf                  eh                   and                  N      
anf                  el                   and                  N      
anf                  em                   and                  N      
anf                  en                   and                  N      
anf                  eo                   and                  N      
anf                  ep                   and                  N      
anf                  eq                   and                  N      
anf                  er                   and                  N      
anf                  es                   and                  N      
anf                  et                   and                  N      
anf                  eu                   and                  N      
anf                  ev                   and                  N      
anf                  ew                   and                  N      
anf                  ex                   and                  N      
anf                  ey                   and                  N      
anf                  f                    and                  N      
anf                  fa                   and                  N      
anf                  fb                   and                  N      
anf                  fc                   and                  N      
anf                  fe                   and                  N      
anf                  ff                   and                  N      
anf                  fg                   and                  N      
anf                  fi                   and                  N      
anf                  fl                   and                  N      
anf                  fm                   and                  N      
anf                  fn                   and                  N      
anf                  fo                   and                  N      
anf                  fp                   and                  N      
anf                  fr                   and                  N      
anf                  fs                   and                  N      
anf                  ft                   and                  N      
anf                  fu                   and                  N      
anf                  fv                   and                  N      
anf                  fw                   and                  N      
anf                  fx                   and                  N      
anf                  fy                   and                  N      
anf                  fz                   and                  N      
anf                  g                    and                  N      
anf                  ga                   and                  N      
anf                  gb                   and                  N      
anf                  gd                   and                  N      
anf                  ge                   and                  N      
anf                  gi                   and                  N      
anf                  gl                   and                  N      
anf                  gm                   and                  N      
anf                  gn                   and                  N      
anf                  go                   and                  N      
anf                  gp                   and                  N      
anf                  gr                   and                  N      
anf                  gs                   and                  N      
anf                  gt                   and                  N      
anf                  gu                   and                  N      
anf                  gv                   and                  N      
anf                  gw                   and                  N      
anf                  h                    and                  N      
anf                  ha                   and                  N      
anf                  hb                   and                  N      
anf                  hd                   and                  N      
anf                  he                   and                  N      
anf                  hf                   and                  N      
anf                  hg                   and                  N      
anf                  hi                   and                  N      
anf                  hl                   and                  N      
anf                  hm                   and                  N      
anf                  ho                   and                  N      
anf                  hp                   and                  N      
anf                  hq                   and                  N      
anf                  hr                   and                  N      
anf                  hs                   and                  N      
anf                  ht                   and                  N      
anf                  hu                   and                  N      
anf                  hv                   and                  N      
anf                  hw                   and                  N      
anf                  hy                   and                  N      
anf                  hz                   and                  N      
anf                  i                    and                  N      
anf                  ia                   and                  N      
anf                  ib                   and                  N      
anf                  ic                   and                  N      
anf                  id                   and                  N      
anf                  ie                   and                  N      
anf                  if                   and                  N      
anf                  ii                   and                  N      
anf                  ik                   and                  N      
anf                  il                   and                  N      
anf                  im                   and                  N      
anf                  in                   and                  N      
anf                  inf                  and                  N      
anf                  io                   and                  N      
anf                  ip                   and                  N      
anf                  iq                   and                  N      
anf                  ir                   and                  N      
anf                  is                   and                  N      
anf                  it                   and                  N      
anf                  iu                   and                  N      
anf                  iv                   and                  N      
anf                  iw                   and                  N      
anf                  ix                   and                  N      
anf                  j                    and                  N      
anf                  ja                   and                  N      
anf                  jg                   and                  N      
anf                  ji                   and                  N      
anf                  jo                   and                  N      
anf                  jr                   and                  N      
anf                  js                   and                  N      
anf                  jt                   and                  N      
anf                  ju                   and                  N      
anf                  k                    and                  N      
anf                  ka                   and                  N      
anf                  kb                   and                  N      
anf                  kc                   and                  N      
anf                  kg                   and                  N      
anf                  ki                   and                  N      
anf                  kl                   and                  N      
anf                  km                   and                  N      
anf                  kn                   and                  N      
anf                  ko                   and                  N      
anf                  kr                   and                  N      
anf                  ks                   and                  N      
anf                  kt                   and                  N      
anf                  ku                   and                  N      
anf                  kv                   and                  N      
anf                  kw                   and                  N      
anf                  ky                   and                  N      
anf                  l                    and                  N      
anf                  la                   and                  N      
anf                  lb                   and                  N      
anf                  lc                   and                  N      
anf                  ld                   and                  N      
anf                  le                   and                  N      
anf                  lf                   and                  N      
anf                  lg                   and                  N      
anf                  lh                   and                  N      
anf                  li                   and                  N      
anf                  ll                   and                  N      
anf                  lm                   and                  N      
anf                  ln                   and                  N      
anf                  lo                   and                  N      
anf                  lp                   and                  N      
anf                  lr                   and                  N      
anf                  ls                   and                  N      
anf                  lt                   and                  N      
anf                  lu                   and                  N      
anf                  lv                   and                  N      
anf                  lx                   and                  N      
anf                  ly                   and                  N      
anf                  m                    and                  N      
anf                  ma                   and                  N      
anf                  mb                   and                  N      
anf                  mc                   and                  N      
anf                  md                   and                  N      
anf                  me                   and                  N      
anf                  mf                   and                  N      
anf                  mg                   and                  N      
anf                  mh                   and                  N      
anf                  mi                   and                  N      
anf                  mk                   and                  N      
anf                  ml                   and                  N      
anf                  mm                   and                  N      
anf                  mn                   and                  N      
anf                  mo                   and                  N      
anf                  mp                   and                  N      
anf                  mr                   and                  N      
anf                  ms                   and                  N      
anf                  mt                   and                  N      
anf                  mu                   and                  N      
anf                  mv                   and                  N      
anf                  mw                   and                  N      
anf                  my                   and                  N      
anf                  n                    and                  N      
anf                  na                   and                  N      
anf                  nb                   and                  N      
anf                  nd                   and                  N      
anf                  ne                   and                  N      
anf                  ng                   and                  N      
anf                  ni                   and                  N      
anf                  nj                   and                  N      
anf                  nl                   and                  N      
anf                  nm                   and                  N      
anf                  no                   and                  N      
anf                  np                   and                  N      
anf                  nr                   and                  N      
anf                  ns                   and                  N      
anf                  nt                   and                  N      
anf                  nu                   and                  N      
anf                  nv                   and                  N      
anf                  nw                   and                  N      
anf                  ny                   and                  N      
anf                  nz                   and                  N      
anf                  o                    and                  N      
anf                  ob                   and                  N      
anf                  oc                   and                  N      
anf                  od                   and                  N      
anf                  oe                   and                  N      
anf                  of                   and                  N      
anf                  og                   and                  N      
anf                  oh                   and                  N      
anf                  oj                   and                  N      
anf                  ok                   and                  N      
anf                  ol                   and                  N      
anf                  om                   and                  N      
anf                  on                   and                  N      
anf                  op                   and                  N      
anf                  or                   and                  N      
anf                  os                   and                  N      
anf                  ot                   and                  N      
anf                  ow                   and                  N      
anf                  ox                   and                  N      
anf                  oy                   and                  N      
anf                  oz                   and                  N      
