Misspelt             Predicted            Correct              Match

accually             actually             actually             Y      
addidas              adidas               adidas               Y      
adn                  addn                 and                  N      
aer                  aer                  are                  N      
aeroplane            aeroplane            airplane             N      
agin                 agin                 again                N      
aginst               against              against              Y      
aginst               agist                against              N      
ahain                hain                 again                N      
airborn              airborn              airborne             N      
akward               award                awkward              N      
akward               award                awkward              N      
alchohal             alcohol              alcohol              Y      
alchy                achy                 alky                 N      
alterior             anterior             ulterior             N      
alterior             ulterior             ulterior             Y      
alter                alter                later                N      
amasing              amassing             amazing              N      
amature              armature             amateur              N      
amature              armature             amateur              N      
amazimg              amazing              amazing              Y      
amazong              amazon               amazing              N      
amde                 ade                  made                 N      
amde                 aide                 made                 N      
amde                 ambe                 made                 N      
amde                 amd                  made                 N      
amendola             amentula             amenbola             N      
ancy                 acy                  antsy                N      
ancy                 agcy                 antsy                N      
ancy                 anay                 antsy                N      
ancy                 anc                  antsy                N      
ancy                 andy                 antsy                N      
ancy                 any                  antsy                N      
ancy                 dancy                antsy                N      
anf                  af                   and                  N      
anf                  aff                  and                  N      
appology             apology              apology              Y      
appropo              appro                apropos              N      
arguement            argument             argument             Y      
arsewipe             arsewipe             asswipe              N      
astrix               strix                asterix              N      
athiest              lathiest             atheist              N      
athy                 cathy                atheist              N      
athy                 ashy                 atheist              N      
athy                 atry                 atheist              N      
athy                 atty                 atheist              N      
athy                 cathy                atheist              N      
awch                 ach                  ouch                 N      
awsome               awesome              awesome              Y      
aye                  aye                  eh                   N      
azz                  az                   ass                  N      
b0i                  bi                   boy                  N      
b4                   b                    before               N      
b4                   ba                   before               N      
b4                   bb                   before               N      
b4                   bc                   before               N      
b4                   bd                   before               N      
b4                   be                   before               N      
b4                   bf                   before               N      
b4                   bg                   before               N      
b4                   bi                   before               N      
b4                   bk                   before               N      
b4                   bl                   before               N      
b4                   bm                   before               N      
b4                   bn                   before               N      
b4                   bo                   before               N      
b4                   bp                   before               N      
b4                   br                   before               N      
b4                   bs                   before               N      
b4                   bt                   before               N      
b4                   bu                   before               N      
b4                   bv                   before               N      
b4                   bx                   before               N      
b4                   by                   before               N      
b4                   bz                   before               N      
backwords            backswords           backward             N      
backwords            backwards            backward             N      
baddy                baddy                baddie               N      
baest                barest               beast                N      
baest                basest               beast                N      
baest                bast                 beast                N      
baest                beast                beast                Y      
bafoon               baboon               buffoon              N      
bafoon               batoon               buffoon              N      
bagget               bagge                baguette             N      
bagget               bagged               baguette             N      
balling              balling              bawling              N      
ballon               ballon               balloons             N      
ballsac              balls                ballsack             N      
ballsac              ballad               ballsack             N      
baqk                 back                 back                 Y      
baqk                 balk                 back                 N      
baqk                 bank                 back                 N      
baqk                 bark                 back                 N      
baqk                 bask                 back                 N      
baqk                 bauk                 back                 N      
bawz                 baw                  baws                 N      
bearfoot             bearfoot             barefoot             N      
bebeh                bebed                baby                 N      
beeotch              bebotch              biatch               N      
beery                beery                berry                N      
beeze                beezer               beezie               N      
beeze                beele                beezie               N      
beeze                beeve                beezie               N      
behenchod            benched              bhenchod             N      
beutiful             beautiful            beautiful            Y      
bewn                 ben                  b00n                 N      
biast                bast                 bias                 N      
biast                beast                bias                 N      
biast                bias                 bias                 Y      
bibl                 bibl                 bible                N      
bicth                birth                bitch                N      
biotch               biotech              bitch                N      
biotch               bitch                bitch                Y      
biotch               blotch               bitch                N      
bitach               bitch                bitatch              N      
bitach               bitch                bitch                Y      
bitchen              birchen              bitchin              N      
bitchen              bitched              bitchin              N      
bitchen              bitches              bitchin              N      
bitchen              kitchen              bitchin              N      
bitchen              witchen              bitchin              N      
bitcj                bitch                bitch                Y      
bithc                bitch                bitch                Y      
bitsh                bish                 bitch                N      
bitsh                bish                 bitch                N      
bizness              bigness              business             N      
bizy                 biz                  busy                 N      
blar                 bar                  blah                 N      
blar                 baar                 blah                 N      
blar                 balr                 blah                 N      
blar                 bar                  blah                 N      
blar                 bear                 blah                 N      
blar                 belar                blah                 N      
blar                 bhar                 blah                 N      
blar                 blab                 blah                 N      
blatently            latently             blatantly            N      
bler                 abler                bleh                 N      
bler                 baler                bleh                 N      
bler                 beer                 bleh                 N      
bler                 ber                  bleh                 N      
bler                 bier                 bleh                 N      
bler                 bldr                 bleh                 N      
bler                 blea                 bleh                 N      
bler                 blear                bleh                 N      
blond                blond                blonde               N      
bobies               bobbies              boobies              N      
bobies               bobbies              boobies              N      
boke                 boke                 boak                 N      
bollicks             bollocks             bollocks             Y      
bollicks             rollicks             bollocks             N      
bollix               bollix               bollocks             N      
bollox               bollox               bollocks             N      
bollucks             bollocks             bollocks             Y      
bona                 bona                 boner                N      
bonza                bona                 bonzer               N      
bonza                bonze                bonzer               N      
bonza                boza                 bonzer               N      
boobes               boobies              boobs                N      
boobes               boobed               boobs                N      
boobiez              boobies              boobies              Y      
bote                 bote                 boat                 N      
boudicca             boadicea             boudica              N      
braj                 bra                  brah                 N      
braj                 brab                 brah                 N      
brane                bane                 brain                N      
brane                blane                brain                N      
brane                borane               brain                N      
brane                brace                brain                N      
brane                brae                 brain                N      
brane                brake                brain                N      
brasil               brasil               brazil               N      
bratwurst            bratwurst            bratwurst            Y      
brillant             brillante            brillant             N      
brillant             brilliant            brillant             N      
bronie               brownie              brony                N      
brootal              brool                brutal               N      
brootal              bostal               brutal               N      
bru                  baru                 bro                  N      
bru                  baru                 bro                  N      
bru                  br                   bro                  N      
bru                  bra                  bro                  N      
bru                  bre                  bro                  N      
bru                  brl                  bro                  N      
brussels             brussels             brussel              N      
bryt                 brat                 bright               N      
bryt                 bret                 bright               N      
bryt                 brit                 bright               N      
bryt                 brot                 bright               N      
bryt                 brut                 bright               N      
bryt                 bryn                 bright               N      
bryt                 tryt                 bright               N      
bss                  bbss                 bs                   N      
bss                  bas                  bs                   N      
bubbla               bubba                bubbler              N      
buggie               buggier              buggy                N      
buggie               biggie               buggy                N      
burd                 burd                 bird                 N      
burque               barque               alburquerque         N      
butthead             bitthead             butthead             N      
butthead             busthead             butthead             N      
butti                butt                 butty                N      
bwt                  bt                   btw                  N      
bwt                  bet                  btw                  N      
bytch                byth                 bitch                N      
cacky                cack                 khaki                N      
cacky                cack                 khaki                N      
cacky                cackly               khaki                N      
cacky                cacks                khaki                N      
caffiene             caffeine             caffeine             Y      
cahones              cajones              cojones              N      
cahones              canones              cojones              N      
caire                aire                 car                  N      
caire                cabre                car                  N      
caire                cadre                car                  N      
caire                cair                 car                  N      
caire                caird                car                  N      
camero               cameo                camaro               N      
camero               camera               camaro               N      
camoflauge           camouflage           camouflage           Y      
canadiens            canadians            canadian             N      
capice               caprice              capisce              N      
carzy                cary                 crazy                N      
carzy                carey                crazy                N      
catbox               hatbox               chatbox              N      
celfie               selfie               selfie               Y      
centre               centre               center               N      
cheezy               heezy                cheesy               N      
cherrios             cheerios             cheerioes            N      
chika                chia                 chica                N      
choad                chad                 chode                N      
choon                chon                 tune                 N      
ciik                 ci                   cool                 N      
ciik                 atik                 cool                 N      
ciik                 bick                 cool                 N      
ciik                 bilk                 cool                 N      
clik                 claik                clique               N      
clik                 cli                  clique               N      
clik                 click                clique               N      
clik                 clin                 clique               N      
clik                 clink                clique               N      
clitorus             clitoris             clittoris            N      
clumbsy              clumsy               clumsy               Y      
colour               colour               colour               Y      
comg                 cmg                  xomg                 N      
comg                 cog                  xomg                 N      
comg                 com                  xomg                 N      
comg                 coma                 xomg                 N      
comix                comix                comics               N      
condragulations      congratulations      congratulations      Y      
condragulations      contratulations      congratulations      N      
congradulations      congratulations      congratulations      Y      
coolies              coolies              cool                 N      
corney               coney                corney               N      
corney               cerney               corney               N      
corney               coney                corney               N      
cowa                 cow                  cows                 N      
cowa                 coda                 cows                 N      
cowa                 cola                 cows                 N      
cox                  cox                  cocks                N      
craftwork            craftwork            kraftwerk            N      
crape                crape                crap                 N      
crappie              crappie              crappy               N      
cricky               crick                crikey               N      
cricky               chicky               crikey               N      
cricky               clicky               crikey               N      
cuteiful             coteful              cutiful              N      
cuteiful             dutiful              cutiful              N      
cutiest              cutest               cutest               Y      
cutiest              cuties               cutest               N      
cuttie               cutie                cutie                Y      
daemon               daemon               demon                N      
daimond              daimon               diamond              N      
damb                 amb                  damn                 N      
damb                 camb                 damn                 N      
damb                 dab                  damn                 N      
damb                 dabb                 damn                 N      
darlek               dark                 dalek                N      
daygo                dago                 dago                 Y      
dearth               dearth               dirth                N      
deece                deere                dece                 N      
deece                deice                dece                 N      
deece                deuce                dece                 N      
deece                meece                dece                 N      
deece                reece                dece                 N      
defiantly            defiantly            definitely           N      
definately           definitely           definitely           Y      
definetely           definitely           definitely           Y      
definetly            definedly            definitely           N      
definitly            definitely           definitely           Y      
deuche               deuce                douche               N      
dhe                  de                   the                  N      
dhe                  dae                  the                  N      
diarhea              diarrhea             diarrhea             Y      
dike                 dike                 dyke                 N      
dill                 dill                 dil                  N      
dillusional          illusional           delusional           N      
dirrty               dirty                dirty                Y      
dirth                dirt                 dearth               N      
djinn                djinn                jinn                 N      
doenst               doest                doesn                N      
donit                doit                 doughnut             N      
donit                donat                doughnut             N      
donit                donet                doughnut             N      
dooche               douche               douche               Y      
doosh                dosh                 douche               N      
drak                 dak                  dark                 N      
drak                 dak                  dark                 N      
drak                 dark                 dark                 Y      
drak                 dhak                 dark                 N      
dray                 dray                 dry                  N      
droll                droll                drole                N      
drunck               drunk                drunk                Y      
dubes                daubes               doobie               N      
dubes                daubes               doobie               N      
dubes                dubas                doobie               N      
dufus                duffus               doofus               N      
dumby                dumby                dummy                N      
dun                  dun                  done                 N      
durnk                dunk                 drunk                N      
durnk                dunk                 drunk                N      
durp                 dup                  derp                 N      
durp                 dorp                 derp                 N      
durr                 durr                 dir                  N      
dwag                 dag                  dawg                 N      
dwag                 dag                  dawg                 N      
dwag                 dgag                 dawg                 N      
dweeb                deb                  dickweed             N      
