Misspelt             Predicted            Correct              Match

accually             actually             actually             Y      
addidas              adidas               adidas               Y      
adn                  abn                  and                  N      
aer                  aer                  are                  N      
aeroplane            aeroplane            airplane             N      
agin                 agin                 again                N      
aginst               against              against              Y      
ahain                again                again                Y      
airborn              airborn              airborne             N      
akward               adward               awkward              N      
alchohal             alcohol              alcohol              Y      
alchy                achy                 alky                 N      
alterior             anterior             ulterior             N      
alter                alter                later                N      
amasing              abasing              amazing              N      
amature              abature              amateur              N      
amazimg              amazing              amazing              Y      
amazong              amazing              amazing              Y      
amde                 ade                  made                 N      
amendola             amentula             amenbola             N      
ancy                 acy                  antsy                N      
anf                  af                   and                  N      
appology             apiology             apology              N      
appropo              appro                apropos              N      
arguement            argument             argument             Y      
arsewipe             arsewipe             asswipe              N      
astrix               astrid               asterix              N      
athiest              achiest              atheist              N      
athy                 achy                 atheist              N      
awch                 ach                  ouch                 N      
awsome               awesome              awesome              Y      
aye                  aye                  eh                   N      
azz                  adz                  ass                  N      
b0i                  bai                  boy                  N      
b4                   b                    before               N      
backwords            backswords           backward             N      
baddy                baddy                baddie               N      
baest                barest               beast                N      
bafoon               baboon               buffoon              N      
bagget               bagge                baguette             N      
balling              balling              bawling              N      
ballon               ballon               balloons             N      
ballsac              balla                ballsack             N      
baqk                 back                 back                 Y      
bawz                 baez                 baws                 N      
bearfoot             bearfoot             barefoot             N      
bebeh                bebed                baby                 N      
beeotch              bebotch              biatch               N      
beery                beery                berry                N      
beeze                beebe                beezie               N      
behenchod            beancod              bhenchod             N      
beutiful             beautiful            beautiful            Y      
bewn                 bawn                 b00n                 N      
biast                bast                 bias                 N      
bibl                 bibl                 bible                N      
bicth                birth                bitch                N      
biotch               biotech              bitch                N      
bitach               bitch                bitatch              N      
bitach               bitch                bitch                Y      
bitchen              birchen              bitchin              N      
bitcj                bitch                bitch                Y      
bithc                aith                 bitch                N      
bitsh                bilsh                bitch                N      
bizness              bigness              business             N      
bizy                 biz                  busy                 N      
blar                 alar                 blah                 N      
blatently            blatantly            blatantly            Y      
bler                 abler                bleh                 N      
blond                blond                blonde               N      
bobies               babies               boobies              N      
boke                 boke                 boak                 N      
bollicks             bollocks             bollocks             Y      
bollix               bollix               bollocks             N      
bollox               bollox               bollocks             N      
bollucks             bollocks             bollocks             Y      
bona                 bona                 boner                N      
bonza                bona                 bonzer               N      
boobes               bombes               boobs                N      
boobiez              boobies              boobies              Y      
bote                 bote                 boat                 N      
boudicca             boadicea             boudica              N      
braj                 bra                  brah                 N      
brane                bane                 brain                N      
brasil               brasil               brazil               N      
bratwurst            bratwurst            bratwurst            Y      
brillant             brillante            brillant             N      
bronie               brinie               brony                N      
brootal              bostal               brutal               N      
bru                  aru                  bro                  N      
brussels             brussels             brussel              N      
bryt                 brat                 bright               N      
bss                  ass                  bs                   N      
bubbla               bubba                bubbler              N      
buggie               baggie               buggy                N      
burd                 burd                 bird                 N      
burque               barque               alburquerque         N      
butthead             bitthead             butthead             N      
butti                busti                butty                N      
bwt                  bat                  btw                  N      
bytch                batch                bitch                N      
cacky                backy                khaki                N      
caffiene             affine               caffeine             N      
cahones              cajones              cojones              N      
caire                aire                 car                  N      
camero               cameo                camaro               N      
camoflauge           camouflage           camouflage           Y      
canadiens            canadians            canadian             N      
capice               capite               capisce              N      
carzy                carby                crazy                N      
catbox               hatbox               chatbox              N      
celfie               selfie               selfie               Y      
centre               centre               center               N      
cheezy               cheeky               cheesy               N      
cherrios             cheerios             cheerioes            N      
chika                chaka                chica                N      
choad                chad                 chode                N      
choon                chon                 tune                 N      
ciik                 aik                  cool                 N      
clik                 claik                clique               N      
clitorus             clitoris             clittoris            N      
clumbsy              clumsy               clumsy               Y      
colour               colour               colour               Y      
comg                 cmg                  xomg                 N      
comix                comix                comics               N      
condragulations      congratulations      congratulations      Y      
congradulations      congratulations      congratulations      Y      
coolies              coolies              cool                 N      
corney               carney               corney               N      
cowa                 coca                 cows                 N      
cox                  cox                  cocks                N      
craftwork            craftwork            kraftwerk            N      
crape                crape                crap                 N      
crappie              crappie              crappy               N      
cricky               bricky               crikey               N      
cuteiful             coteful              cutiful              N      
cutiest              cutest               cutest               Y      
cuttie               cattie               cutie                N      
daemon               daemon               demon                N      
daimond              daimon               diamond              N      
damb                 amb                  damn                 N      
darlek               areek                dalek                N      
daygo                dago                 dago                 Y      
dearth               dearth               dirth                N      
deece                deere                dece                 N      
defiantly            defiantly            definitely           N      
definately           definitely           definitely           Y      
definetely           definitely           definitely           Y      
definetly            definedly            definitely           N      
definitly            definitely           definitely           Y      
deuche               deuce                douche               N      
dhe                  che                  the                  N      
diarhea              diarrhea             diarrhea             Y      
dike                 dike                 dyke                 N      
dill                 dill                 dil                  N      
dillusional          illusional           delusional           N      
dirrty               dirity               dirty                N      
dirth                airth                dearth               N      
djinn                djinn                jinn                 N      
doenst               doest                doesn                N      
donit                doit                 doughnut             N      
dooche               douche               douche               Y      
doosh                dosh                 douche               N      
drak                 arak                 dark                 N      
dray                 dray                 dry                  N      
droll                droll                drole                N      
drunck               drunk                drunk                Y      
dubes                cubes                doobie               N      
dufus                duffs                doofus               N      
dumby                dumby                dummy                N      
dun                  dun                  done                 N      
durnk                dunk                 drunk                N      
durp                 burp                 derp                 N      
durr                 durr                 dir                  N      
dwag                 awag                 dawg                 N      
dweeb                awee                 dickweed             N      
dyne                 dyne                 down                 N      
ecstacy              ecstasy              ecstasy              Y      
ectasy               ecstasy              ecstasy              Y      
edn                  dn                   end                  N      
egat                 begat                egads                N      
eigth                eigh                 eighth               N      
embarass             embarrass            embarrass            Y      
engish               english              english              Y      
enterprize           enterprize           enterprise           N      
entre                entre                enter                N      
entrence             entrance             entrance             Y      
enuf                 enif                 enough               N      
eonnie               bonnie               unni                 N      
epitomy              epitome              epitome              Y      
everythink           everything           everything           Y      
exept                erept                except               N      
eys                  ays                  yes                  N      
faecbook             facebook             facebook             Y      
faery                faery                fairy                N      
faget                aget                 faggot               N      
fagget               fagged               faggot               N      
faggit               baggit               faggot               N      
fagit                agit                 faggot               N      
fagot                fagot                faggot               N      
fale                 ale                  fail                 N      
fanboi               fanboy               fanboy               Y      
fassi                assi                 fassy                N      
fcuk                 ack                  fuck                 N      
feminista            feminist             feminist             Y      
fewmin               fehmic               fuming               N      
fhone                fone                 phone                N      
fiels                feels                files                N      
fiend                fiend                friend               N      
figger               bigger               figure               N      
firt                 airt                 first                N      
fitbaw               kitbag               fitba                N      
flem                 flem                 phlegm               N      
flodge               flodge               flauge               N      
foking               coking               fucking              N      
folling              bolling              following            N      
fomg                 fog                  omfg                 N      
fooot                foot                 foot                 Y      
forse                corse                force                N      
fortay               foray                forte                N      
fourplay             forelay              foreplay             N      
fourty               courty               forty                N      
frek                 drek                 freak                N      
frisby               fribby               frisbee              N      
fucc                 fcc                  fuck                 N      
fuckly               feckly               fugly                N      
fujk                 fuck                 fuck                 Y      
fuk                  auk                  fuck                 N      
fukk                 fuck                 fuck                 Y      
fune                 aune                 fine                 N      
furg                 burg                 fag                  N      
gabor                gabor                gaybar               N      
gache                ache                 gash                 N      
gaea                 gaea                 gaia                 N      
gaie                 gabe                 gay                  N      
gaint                aint                 giant                N      
gamz                 gam                  gamez                N      
gaol                 gaol                 jail                 N      
gave                 gave                 gayve                N      
gawgus               angus                gorgeous             N      
gaye                 gaye                 gay                  N      
geezus               feezes               jesus                N      
ge                   ge                   gay                  N      
genious              genius               genius               Y      
gernade              erade                grenade              N      
ghei                 ghee                 ghey                 N      
ghey                 ahey                 gay                  N      
girk                 birk                 girl                 N      
giys                 gays                 guys                 N      
godamn               goddamn              goddamn              Y      
gokken               bokken               gokkun               N      
googleplex           googolplex           googolplex           Y      
goot                 boot                 fagoot               N      
goregous             coregonus            gorgeous             N      
gorjuss              gruss                gorgeous             N      
gotton               cotton               gotten               N      
gr8t                 grat                 great                N      
grammer              crammer              grammar              N      
gravey               grapey               gravy                N      
gret                 gret                 great                N      
groce                croce                gross                N      
grock                arock                grok                 N      
grodie               brodie               grody                N      
grosse               grosse               gross                N      
grrl                 girl                 girl                 Y      
guey                 aguey                buey                 N      
guey                 aguey                wey                  N      
guh                  auh                  ugh                  N      
guildford            guildford            guilford             N      
guiness              gluiness             guinness             N      
gullable             gullable             gullible             N      
gurh                 burh                 girl                 N      
gurl                 gurl                 girl                 N      
hacer                acer                 hacker               N      
haet                 haet                 hate                 N      
hammah               hamlah               hammer               N      
hampster             hamster              hamster              Y      
hanus                anus                 heinous              N      
harang               harang               harangue             N      
harting              carting              hearting             N      
haterz               halerz               haters               N      
hatorade             aborad               haterade             N      
hatter               hatter               hater                N      
haway                away                 howay                N      
hawt                 dawt                 hot                  N      
hayte                halte                hate                 N      
haz                  ahaz                 have                 N      
hed                  hed                  head                 N      
heeb                 beeb                 hebe                 N      
hellow               bellow               hello                N      
henessy              henhussy             hennessy             N      
hennesy              hennery              hennessy             N      
hepl                 heal                 help                 N      
hexa                 hexa                 hecksa               N      
hiccups              hiccups              hiccough             N      
hippocrate           hippocratea          hypocrite            N      
hlep                 clep                 help                 N      
hmwk                 hawk                 homework             N      
hobit                habit                hobbit               N      
hoe                  hoe                  ho                   N      
hoe                  hoe                  whore                N      
homey                homey                homie                N      
hommie               commie               homie                N      
honour               honour               honor                N      
hony                 bony                 honey                N      
hoody                hoody                hoodie               N      
hoog                 goog                 hugs                 N      
hopless              hapless              hopeless             N      
hore                 hore                 whore                N      
hott                 bott                 hot                  N      
hrlp                 halp                 help                 N      
hshs                 hahs                 haha                 N      
humerous             humerus              humorous             N      
huni                 hui                  honey                N      
hunnit               hunnic               hundred              N      
idot                 dot                  idiot                N      
iklas                niklas               ikhlas               N      
illeterate           illiterate           illiterate           Y      
immigratio           immigration          immigration          Y      
inane                inane                insane               N      
inbread              inbread              inbred               N      
